Date,Opponent,Result,Game Time,Attendance
08/29/24,Northwestern State,W 62-28,3:16,16483
09/07/24,@ Arkansas State,L 24-28,3:15,19316
09/14/24,Oklahoma State,L 10-45,3:21,30915
09/21/24,@ Louisiana Tech,W 23-20,3:26,18152
09/28/24,@ North Texas,L 20-52,3:40,18529
10/05/24,21 Army,L 7-49,2:53,24409
10/19/24,@ Temple,L 10-20,3:31,18721
10/26/24,UTSA,W 46-45,3:54,17439
11/02/24,@ UAB,L 21-59,3:35,17944
11/14/24,East Carolina,L 31-38,3:48,17979
11/23/24,@ USF,L 30-63,3:49,27623
11/30/24,Florida Atlantic,L 16-63,3:26,15243
