Date,Opponent,Result,Game Time,Attendance
08/31/24,Western Kentucky,W 63-0,3:33,100077
09/07/24,USF,W 42-16,3:51,100077
09/14/24,@ Wisconsin,W 42-10,3:11,76323
09/28/24,6 Georgia,W 41-34,3:45,100077
10/05/24,@ Vanderbilt,L 35-40,3:27,28934
10/12/24,19 South Carolina,W 27-25,3:17,100077
10/19/24,@ 9 Tennessee,L 17-24,3:51,101915
10/26/24,22 Missouri,W 34-0,3:17,100077
11/09/24,@ LSU,W 42-13,3:26,102283
11/16/24,Mercer,W 52-7,3:05,100077
11/23/24,@ Oklahoma,L 3-24,3:10,84053
11/30/24,Auburn,W 28-14,3:25,100077
12/31/24,+ Michigan,L 13-19,3:13,51439
