Date,Opponent,Result,Game Time,Attendance
09/01/18,Massachusetts,W 55-21,3:03,30112
09/08/18,Holy Cross,W 62-14,3:09,40311
09/13/18,@ Wake Forest,W 41-34,3:25,25309
09/22/18,@ Purdue,L 13-30,3:00,47119
09/29/18,Temple,W 45-35,3:52,40111
10/06/18,@ NC State,L 23-28,3:02,57241
10/13/18,Louisville,W 38-20,3:12,31478
10/26/18,Miami (FL),W 27-14,3:21,41892
11/03/18,@ Virginia Tech,W 31-21,3:19,65632
11/10/18,1 Clemson,L 7-27,3:06,44500
11/17/18,@ Florida State,L 21-22,3:31,57274
11/24/18,15 Syracuse,L 21-42,3:29,34959
