Date,Opponent,Result,Game Time,Attendance
09/01/17,@ Northern Illinois,W 23-20,3:28,16421
09/09/17,Wake Forest,L 10-34,3:14,38082
09/16/17,11 Notre Dame,L 20-49,3:26,44500
09/23/17,@ 4 Clemson,L 7-34,3:08,80525
09/30/17,Central Michigan,W 28-8,3:07,27036
10/07/17,24 Virginia Tech,L 10-23,3:17,32057
10/14/17,@ Louisville,W 45-42,3:25,44679
10/21/17,@ Virginia,W 41-10,3:02,39216
10/27/17,Florida State,W 35-3,3:16,40629
11/11/17,23 NC State,L 14-17,3:22,33242
11/18/17,+ Connecticut,W 39-16,3:25,20133
11/25/17,@ Syracuse,W 42-14,2:51,30202
12/27/17,+ Iowa,L 20-27,3:09,37667
