Date,Opponent,Result,Game Time,Attendance
08/30/25,Fordham,W 66-10,3:12,41221.0
09/06/25,@ Michigan State,L 40-42,3:58,70510.0
09/13/25,@ Stanford,L 20-30,3:04,22162.0
09/27/25,California,L 24-28,3:29,44500.0
10/04/25,@ Pittsburgh,L 7-48,3:22,51101.0
10/11/25,Clemson,L 10-41,3:15,42265.0
10/18/25,Connecticut,L 23-38,3:16,38917.0
10/25/25,@ Louisville,L 24-38,3:42,50320.0
11/01/25,9 Notre Dame,L 10-25,3:18,44500.0
11/08/25,SMU,L 13-45,3:22,38345.0
11/15/25,15 Georgia Tech,L 34-36,3:24,37879.0
11/29/25,@ Syracuse,,,
