Date,Opponent,Result,Game Time,Attendance
09/02/24,@ Florida State,W 28-13,3:19,55107
09/07/24,Duquesne,W 56-0,3:08,38441
09/14/24,@ 22 Missouri,L 21-27,3:12,62621
09/21/24,Michigan State,W 23-19,3:07,44500
09/28/24,Western Kentucky,W 21-20,3:14,41403
10/05/24,@ Virginia,L 14-24,3:04,38285
10/17/24,@ Virginia Tech,L 21-42,3:16,65632
10/25/24,Louisville,L 27-31,3:21,42887
11/09/24,20 Syracuse,W 37-31,3:15,44500
11/16/24,@ 12 SMU,L 28-38,3:27,34438
11/23/24,North Carolina,W 41-21,3:12,37801
11/30/24,Pittsburgh,W 34-23,3:28,29704
12/28/24,+ Nebraska,L 15-20,3:15,30062
