Date,Opponent,Result,Game Time,Attendance
08/31/19,+ 5 Oregon,W 27-21,3:38,60662
09/07/19,Tulane,W 24-6,3:27,85317
09/14/19,Kent State,W 55-16,3:09,84542
09/21/19,@ Texas A&M,W 28-20,3:27,101681
09/28/19,Mississippi State,W 56-23,3:30,87451
10/05/19,@ 6 Florida,L 13-24,3:31,90584
10/19/19,@ Arkansas,W 51-10,3:16,54619
10/26/19,@ 1 LSU,L 20-23,3:52,102160
11/02/19,Ole Miss,W 20-14,3:10,87451
11/16/19,4 Georgia,L 14-21,3:42,87451
11/23/19,Samford,W 52-0,3:05,80692
11/30/19,8 Alabama,W 48-45,3:49,87451
01/01/20,+ 10 Minnesota,L 24-31,3:20,45652
