Date,Opponent,Result,Game Time,Attendance
08/31/19,Virginia Tech,W 35-28,3:19,35213
09/07/19,Richmond,W 45-13,2:48,30111
09/13/19,Kansas,L 24-48,3:28,32848
09/21/19,@ Rutgers,W 30-16,3:11,32217
09/28/19,Wake Forest,L 24-27,3:09,39352
10/05/19,@ Louisville,L 39-41,3:26,46007
10/19/19,NC State,W 45-24,3:08,30275
10/26/19,@ 2 Clemson,L 7-59,2:58,81081
11/02/19,@ Syracuse,W 58-27,3:11,42857
11/09/19,Florida State,L 31-38,3:16,37312
11/23/19,@ 12 Notre Dame,L 7-40,3:12,71827
11/30/19,@ Pittsburgh,W 26-19,3:03,40889
01/02/20,+ 21 Cincinnati,L 6-38,5:28,27193
