Date,Opponent,Result,Game Time,Attendance
09/02/17,+ Florida State,W 24-7,3:16,76330
09/09/17,Fresno State,W 41-10,3:01,101127
09/16/17,Colorado State,W 41-23,3:11,101821
09/23/17,@ Vanderbilt,W 59-0,3:07,40350
09/30/17,Ole Miss,W 66-3,3:11,101821
10/07/17,@ Texas A&M,W 27-19,3:18,101058
10/14/17,Arkansas,W 41-9,3:12,101821
10/21/17,Tennessee,W 45-7,3:22,101821
11/04/17,18 LSU,W 24-10,3:07,101821
11/11/17,@ 19 Mississippi State,W 31-24,3:28,61344
11/18/17,Mercer,W 56-0,2:54,101821
11/25/17,@ 10 Auburn,L 14-26,3:17,87451
01/01/18,+ 4 Clemson,W 24-6,3:19,72360
01/08/18,+ 2 Georgia,W 26-23,3:50,77430
