Date,Opponent,Result,Game Time,Attendance
09/03/16,San Jose State,W 45-10,3:14,18748
09/10/16,@ 2 Ohio State,L 3-48,4:18,104410
09/17/16,North Carolina A&T,W 58-21,3:19,16111
09/24/16,@ Fresno State,W 48-41,3:59,23273
10/07/16,SMU,W 43-40,4:22,22089
10/15/16,@ Houston,L 31-38,3:29,38221
10/22/16,Tulane,W 50-27,3:28,22349
10/29/16,@ Memphis,W 59-30,3:44,36894
11/05/16,East Carolina,W 45-24,3:48,17557
11/12/16,@ Navy,L 40-42,3:25,36397
11/19/16,@ UCF,W 35-20,3:30,35141
11/25/16,Cincinnati,W 40-37,3:31,18550
12/19/16,+ Central Michigan,W 55-10,3:28,15262
