Date,Opponent,Result,Game Time,Attendance
08/30/18,Wake Forest,L 17-23,3:40,15478
09/08/18,Nicholls State,W 42-17,3:05,21092
09/15/18,@ UAB,L 24-31,3:20,21991
09/22/18,@ 3 Ohio State,L 6-49,3:11,103336
09/28/18,Memphis,W 40-24,3:07,16631
10/06/18,@ 24 Cincinnati,L 21-37,3:29,32200
10/20/18,SMU,L 23-27,4:27,13987
10/27/18,@ Tulsa,W 24-17,3:02,16133
11/03/18,@ USF,W 41-15,3:17,31388
11/10/18,East Carolina,W 24-18,3:54,20860
11/15/18,@ Houston,L 17-48,3:23,24209
11/24/18,Navy,W 29-28,2:57,20042
12/15/18,+ Louisiana,W 41-24,3:18,19066
