Date,Opponent,Result,Game Time,Attendance
08/31/23,Arkansas-Pine Bluff,W 42-7,3:10,17529
09/09/23,@ 2 Washington,L 10-43,3:00,63128
09/16/23,15 Oklahoma,L 17-66,3:21,30855
09/23/23,@ Northern Illinois,W 22-14,3:17,10321
09/28/23,Temple,W 48-26,3:23,17538
10/07/23,@ Florida Atlantic,L 17-20,3:11,21077
10/19/23,Rice,L 10-42,3:16,18527
10/28/23,@ 21 SMU,L 10-69,3:15,20800
11/04/23,Charlotte,L 26-33,3:51,20152
11/11/23,@ Tulane,L 22-24,3:21,20126
11/18/23,North Texas,L 28-35,3:20,16520
11/25/23,@ East Carolina,W 29-27,3:31,29567
