Date,Opponent,Result,Game Time,Attendance
09/02/23,Massachusetts,W 59-14,3:14,88043
09/09/23,@ California,W 14-10,3:12,44141
09/16/23,Samford,W 45-13,3:06,88043
09/23/23,@ Texas A&M,L 10-27,3:29,102530
09/30/23,4 Georgia,L 20-27,3:07,88043
10/14/23,@ 12 LSU,L 18-48,3:17,102321
10/21/23,9 Ole Miss,L 21-28,3:22,88043
10/28/23,Mississippi State,W 27-13,3:02,88043
11/04/23,@ Vanderbilt,W 31-15,3:06,28500
11/11/23,@ Arkansas,W 48-10,2:58,72033
11/18/23,New Mexico State,L 10-31,2:59,88043
11/25/23,5 Alabama,L 24-27,3:24,88043
12/30/23,+ Maryland,L 13-31,3:22,50088
