Date,Opponent,Result,Game Time,Attendance
09/26/20,@ Missouri,W 38-19,3:15,11738
10/03/20,5 Texas A&M,W 52-24,3:18,19424
10/10/20,@ Ole Miss,W 63-48,3:47,14419
10/17/20,11 Georgia,W 41-24,3:22,19424
10/24/20,@ Tennessee,W 48-17,3:14,23394
10/31/20,Mississippi State,W 41-0,3:31,19424
11/21/20,Kentucky,W 63-3,3:09,19424
11/28/20,Auburn,W 42-13,3:05,19424
12/05/20,@ LSU,W 55-17,3:30,22349
12/12/20,@ Arkansas,W 52-3,3:04,16500
12/19/20,+ 10 Florida,W 52-46,3:45,16520
01/01/21,+ 4 Notre Dame,W 31-14,3:13,18373
01/11/21,+ 3 Ohio State,W 52-24,3:32,14926
