Date,Opponent,Result,Game Time,Attendance
09/02/17,Georgia Southern,W 41-7,3:07,87451
09/09/17,@ 4 Clemson,L 6-14,3:13,81799
09/16/17,Mercer,W 24-10,3:13,87033
09/23/17,@ Missouri,W 51-14,3:03,54574
09/30/17,19 Mississippi State,W 49-10,3:22,86901
10/07/17,Ole Miss,W 44-23,3:16,86700
10/14/17,@ 18 LSU,L 23-27,3:17,101601
10/21/17,@ Arkansas,W 52-20,3:22,71961
11/04/17,@ Texas A&M,W 42-27,3:17,100257
11/11/17,2 Georgia,W 40-17,3:21,87451
11/18/17,Louisiana-Monroe,W 42-14,3:11,82133
11/25/17,1 Alabama,W 26-14,3:17,87451
12/02/17,+ 2 Georgia,L 7-28,3:20,76534
01/01/18,+ 6 UCF,L 27-34,3:56,71109
