Date,Opponent,Result,Game Time,Attendance
09/02/21,UC Davis,L 17-19,3:31,15085
09/11/21,@ 7 Oklahoma State,L 23-28,3:37,52127
09/18/21,@ 6 Ohio State,L 20-41,4:01,76540
09/25/21,Arkansas State,W 41-34,3:42,14881
10/01/21,17 Houston,L 10-45,3:32,15890
10/09/21,Memphis,W 35-29,3:33,17593
10/16/21,@ USF,W 32-31,3:33,21767
10/29/21,Navy,L 17-20,3:11,16279
11/06/21,@ 4 Cincinnati,L 20-28,3:39,37978
11/13/21,@ Tulane,W 20-13,3:22,22784
11/20/21,Temple,W 44-10,3:49,16731
11/27/21,@ SMU,W 34-31,3:35,17158
12/20/21,+ Old Dominion,W 30-17,3:35,6557
