Date,Opponent,Result,Game Time,Attendance
08/31/19,+ Duke,W 42-3,3:14,71916
09/07/19,New Mexico State,W 62-10,3:05,100710
09/14/19,@ South Carolina,W 47-23,3:26,81954
09/21/19,Southern Miss,W 49-7,2:54,101821
09/28/19,Ole Miss,W 59-31,3:31,99590
10/12/19,@ Texas A&M,W 47-28,3:29,106749
10/19/19,Tennessee,W 35-13,3:13,101821
10/26/19,Arkansas,W 48-7,2:55,100233
11/09/19,1 LSU,L 41-46,3:42,101821
11/16/19,@ Mississippi State,W 38-7,3:11,57607
11/23/19,Western Carolina,W 66-3,2:55,101821
11/30/19,@ 14 Auburn,L 45-48,3:49,87451
01/01/20,+ 18 Michigan,W 35-16,3:26,59746
