Date,Opponent,Result,Game Time,Attendance
09/02/23,Middle Tennessee State,W 56-7,3:11,100077
09/09/23,3 Texas,L 24-34,3:25,100077
09/16/23,@ USF,W 17-3,4:06,65138
09/23/23,9 Ole Miss,W 24-10,3:04,100077
09/30/23,@ Mississippi State,W 40-17,3:11,60111
10/07/23,@ Texas A&M,W 26-20,3:18,108101
10/14/23,Arkansas,W 24-21,3:14,100077
10/21/23,17 Tennessee,W 34-20,3:25,100077
11/04/23,12 LSU,W 42-28,3:13,100077
11/11/23,@ Kentucky,W 49-21,3:18,61936
11/18/23,Chattanooga,W 66-10,3:06,100077
11/25/23,@ Auburn,W 27-24,3:24,88043
12/02/23,+ 4 Georgia,W 27-24,3:13,78320
01/01/24,+ 1 Michigan,L 20-27,3:32,96371
