Date,Opponent,Result,Game Time,Attendance
08/30/19,@ Michigan State,L 7-28,3:13,72005
09/07/19,@ San Jose State,W 34-16,2:59,12471
09/14/19,Oklahoma State,L 21-40,3:30,28612
09/21/19,Wyoming,W 24-21,3:45,16246
10/05/19,@ SMU,L 37-43,3:59,28142
10/12/19,20 Navy,L 17-45,3:38,17951
10/19/19,@ 21 Cincinnati,L 13-24,3:23,33209
10/26/19,17 Memphis,L 41-42,3:44,17183
11/02/19,@ Tulane,L 26-38,3:17,27417
11/08/19,24 UCF,W 34-31,3:31,16331
11/23/19,Houston,L 14-24,3:12,16120
11/30/19,@ East Carolina,W 49-24,3:22,27978
