Date,Opponent,Result,Game Time,Attendance
09/03/22,@ Wyoming,L 37-40,4:03,20574
09/10/22,Northern Illinois,W 38-35,3:35,22113
09/17/22,Jacksonville State,W 54-17,3:17,17311
09/24/22,@ Ole Miss,L 27-35,3:31,60641
10/01/22,Cincinnati,L 21-31,3:47,21111
10/08/22,@ Navy,L 21-53,3:29,30658
10/21/22,@ Temple,W 27-16,3:31,13607
10/29/22,SMU,L 34-45,3:27,22993
11/05/22,9 Tulane,L 13-27,2:57,15122
11/10/22,@ Memphis,L 10-26,3:39,23980
11/18/22,USF,W 48-42,3:51,13819
11/26/22,@ Houston,W 37-30,3:35,21785
