Date,Opponent,Result,Game Time,Attendance
09/03/16,+ 9 USC,W 52-6,3:19,81359
09/10/16,Western Kentucky,W 38-10,3:20,101821
09/17/16,@ Ole Miss,W 48-43,4:02,66176
09/24/16,Kent State,W 48-0,3:07,101821
10/01/16,Kentucky,W 34-6,3:09,101821
10/08/16,@ Arkansas,W 49-30,3:38,75459
10/15/16,@ Tennessee,W 49-10,3:21,102455
10/22/16,Texas A&M,W 33-14,3:34,101821
11/05/16,@ 19 LSU,W 10-0,3:08,102321
11/12/16,Mississippi State,W 51-3,3:18,101821
11/19/16,Chattanooga,W 31-3,3:05,101821
11/26/16,17 Auburn,W 30-12,3:18,101821
12/03/16,+ 20 Florida,W 54-16,3:27,74632
12/31/16,+ 4 Washington,W 24-7,3:22,75996
01/09/17,+ 3 Clemson,L 31-35,4:08,74512
