Date,Opponent,Result,Game Time,Attendance
09/04/21,Colgate,W 51-0,3:12,28991
09/11/21,@ Massachusetts,W 45-28,3:05,12118
09/18/21,@ Temple,W 28-3,3:22,25290
09/25/21,Missouri,W 41-34,3:31,44500
10/02/21,@ 14 Clemson,L 13-19,3:31,79159
10/16/21,20 NC State,L 7-33,3:08,40349
10/23/21,@ Louisville,L 14-28,3:02,38202
10/30/21,@ Syracuse,L 6-21,3:01,32022
11/05/21,Virginia Tech,W 17-3,3:05,35637
11/13/21,@ Georgia Tech,W 41-30,3:17,31511
11/20/21,Florida State,L 23-26,3:27,33363
11/27/21,15 Wake Forest,L 10-41,3:11,25854
