Date,Opponent,Result,Game Time,Attendance
09/04/21,+ Miami (FL),W 44-13,3:34,71829
09/11/21,Mercer,W 48-14,3:10,95396
09/18/21,@ Florida,W 31-29,3:29,90887
09/25/21,Southern Miss,W 63-14,3:09,100077
10/02/21,11 Ole Miss,W 42-21,3:14,100077
10/09/21,@ Texas A&M,L 38-41,3:37,106815
10/16/21,@ Mississippi State,W 49-9,3:20,53796
10/23/21,Tennessee,W 52-24,3:33,100077
11/06/21,LSU,W 20-14,3:29,100077
11/13/21,New Mexico State,W 59-3,3:09,97011
11/20/21,21 Arkansas,W 42-35,3:27,98323
11/27/21,@ Auburn,W 24-22,4:00,87451
12/04/21,+ 1 Georgia,W 41-24,3:36,78030
12/31/21,+ 4 Cincinnati,W 27-6,3:18,76313
01/10/22,+ 1 Georgia,L 18-33,3:41,68311
