Date,Opponent,Result,Game Time,Attendance
09/03/16,+ Georgia Tech,L 14-17,3:08,40562
09/10/16,@ Massachusetts,W 26-7,3:07,25112
09/17/16,@ 18 Virginia Tech,L 0-49,3:14,60054
09/24/16,Wagner,W 42-10,2:59,22728
10/01/16,Buffalo,W 35-3,3:09,24203
10/07/16,3 Clemson,L 10-56,3:21,44500
10/22/16,Syracuse,L 20-28,3:15,34647
10/29/16,@ NC State,W 21-14,3:30,56443
11/05/16,15 Louisville,L 7-52,3:04,30644
11/11/16,@ 10 Florida State,L 7-45,3:11,73917
11/19/16,Connecticut,W 30-0,3:08,36220
11/26/16,@ Wake Forest,W 17-14,3:05,24866
12/26/16,+ Maryland,W 36-30,3:37,19117
