Date,Opponent,Result,Game Time,Attendance
08/29/24,Southeastern Louisiana,W 52-0,3:05,20143
09/07/24,Kansas State,L 27-34,3:42,25034
09/14/24,@ Oklahoma,L 19-34,3:33,83325
09/21/24,@ Louisiana,W 41-33,3:27,22534
09/28/24,USF,W 45-10,2:59,20783
10/05/24,@ UAB,W 71-20,3:36,19724
10/19/24,Rice,W 24-10,3:38,22897
10/26/24,@ North Texas,W 45-37,3:35,23138
10/31/24,@ Charlotte,W 34-3,3:20,12268
11/09/24,Temple,W 52-6,3:21,30000
11/16/24,@ Navy,W 35-0,3:05,38914
11/28/24,24 Memphis,L 24-34,3:29,25021
12/06/24,@ 21 Army,L 14-35,3:08,14016
12/20/24,+ Florida,L 8-33,3:47,41472
